Unnamed: 0,ชื่อ,โรงพยาบาลที่ติดอันดับการจัดโรงพยาบาลที่ดีที่สุดโลก,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาลเอกชน,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),แผนกพื้นฐานในการรักษา,จำนวนแพทย์,อัตรา IPD,อัตรา OPD,จำนวนครั้งในการเคลม,กลุ่มที่ 1,กลุ่มที่ 4,กลุ่มที่ 6,กลุ่มที่ 7,กลุ่มที่ 10,กลุ่มที่ 11,กลุ่มที่ 14,กลุ่มที่ 17,กลุ่มที่ 18,กลุ่มที่ 20,Cluster_label,segment
35,นวมินทร์ 9,None,None,Private,245,3280,9,179,0.088735632183908,0.911264367816092,2175,7833.093959731544,1219.319587628866,4807.363636363636,1363.894736842105,3629.896385542169,5471.908045977011,9715.051724137931,0.0,2051.711956521739,5314.737777777777,0,First
36,บางโพ,None,None,Private,100,3700,9,155,0.1319148936170212,0.8680851063829788,1645,9702.911517857145,4583.039714285715,15961.26904761905,7431.89223880597,4175.763686746988,11095.8,8455.673194444444,0.0,5055.651230769231,4945.75782051282,0,First
37,บางไผ่,None,None,Private,100,3530,9,8,0.032258064516129,0.967741935483871,186,5722.625,1558.605555555556,0.0,1348.409090909091,1141.664838709677,1621.482222222222,51209.25,0.0,853.9315384615385,1162.826829268293,0,First
38,บางนา 1,None,None,Private,101,2700,7,84,0.0358565737051792,0.9641434262948207,251,991.9473684210526,700.0,745.0,3592.633333333333,924.04,10855.23076923077,472.0,0.0,688.2727272727273,9168.742857142855,0,First
39,บางปะกอก 1,None,BHGRT,Private,120,3200,7,171,0.0689655172413793,0.9310344827586208,1827,7278.642937062938,1538.894171779141,4115.694444444444,1247.94512195122,2705.70260034904,3637.920294117647,5617.4125,0.0,5325.523445378151,3233.071666666667,0,First
40,บางปะกอก 8,None,BHGRT,Private,200,3200,9,219,0.1298701298701298,0.8701298701298701,308,3869.515151515152,1896.729166666667,900.0,1045.947916666667,2254.513513513513,2605.316666666667,2763.041666666667,0.0,2965.6,2407.985576923077,0,First
41,บางปะกอก 9 อินเตอร์เนชั่นแนล,Top,BHGRT,Private,120,3200,7,285,0.0639671361502347,0.9360328638497653,1704,4638.349316239316,2489.398305084746,1545.55,1482.342105263158,3324.41891509434,6418.745094339623,7858.805882352941,0.0,5604.34633027523,3682.736263736264,0,First
42,บางมด,None,None,Private,203,4000,9,71,0.07773851590106,0.92226148409894,283,1311.944444444444,1467.952380952381,450.0,7817.905192307692,1552.487179487179,2053.15,1389.4,0.0,899.25,11411.68181818182,0,First
43,บ้านแพ้วสาขาสาทร,None,None,Public,54,2300,6,47,0.217391304347826,0.782608695652174,46,0.0,1810.909090909091,10754.0,17259.10526315789,313.0,600.0,0.0,0.0,0.0,0.0,0,First
45,บีเอ็นเอช : BDMS,None,BDMS,Private,86,8800,9,291,0.0548402479732951,0.9451597520267048,2097,7554.314926470589,6701.228035714285,6909.180869565217,3766.496697247705,3947.292156862745,7978.746477272728,11836.36788617886,1518.89,8446.919230769232,3015.598805970149,0,First
