ชื่อ,โรงพยาบาลที่ติดอันดับการจัดโรงพยาบาลที่ดีที่สุดโลก,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาลเอกชน,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),จำนวนแพทย์,อัตรา IPD,อัตรา OPD,จำนวนครั้งในการเคลม,กลุ่มที่ 1,กลุ่มที่ 4,กลุ่มที่ 6,กลุ่มที่ 7,กลุ่มที่ 10,กลุ่มที่ 11,กลุ่มที่ 14,กลุ่มที่ 18,กลุ่มที่ 20
สมิติเวชศรีนครินทร์ : BDMS,Top,BDMS,Private,154,7255,8,0.06523605150214593,0.9353361945636623,3495,11701.333520000004,3370.1035869565208,1831.252,2562.228552631579,3732.3847441860485,10789.197964912277,9130.227538461537,4366.662129032259,11653.35553846154
จุฬาลงกรณ์,Top,None,Public,1485,3500,435,0.14882577826324414,0.8511742217367558,3662,6826.422535211268,2670.9801699716713,7376.163636363636,9815.628391167193,7763.614840989399,12344.07003257329,7005.161691542288,4704.467153284671,14055.190476190477
ไทยนครินทร์,None,None,Private,190,6020,346,0.07291949037679588,0.9270805096232041,3689,7824.689814814815,3487.7619047619046,6408.75,2120.791044776119,3346.797455968689,8424.539682539682,4829.695121951219,3873.3709677419356,3088.041474654378
เปาโลเมโมเรียล เกษตร : BDMS,None,BDMS,Private,162,4000,263,0.06685969992103186,0.9331403000789682,3799,5526.341013824885,1802.6022099447514,1289.1764705882354,1507.169590643275,3048.1835443037976,7573.167630057804,3693.16814159292,4639.005714285714,4268.49494949495
ธนบุรี 1,Top,THG,Private,435,5620,625,0.0861169102296451,0.9138830897703549,3832,7858.772368421052,3212.117528089888,8920.92808219178,4378.570512820513,2887.4408695652173,11714.693298969072,5164.702272727272,5804.170861244019,11251.391420118343
มงกุฎวัฒนะ,None,None,Private,100,4000,411,0.06556968337073049,0.9344303166292696,4011,3840.9940148698884,2271.0493406593405,4603.9881081081085,2596.1115714285716,2275.2968838219326,5128.172118959107,7291.182611940299,4432.408586572437,2317.5058202247187
วิชัยยุทธ,None,None,Private,207,5500,716,0.07395418326693227,0.9267928286852589,4016,10691.110659898479,4204.89367816092,8236.547272727274,4257.659471365639,3808.6792348993285,12643.13273364486,7812.671034482759,9575.747687861272,4347.987123893806
หัวเฉียว,None,None,Private,338,3300,391,0.03787506148548942,0.9621249385145105,4066,2156.8662361623615,2891.639022222222,1422.9166666666667,3998.001028806584,1626.0593914473684,4083.3798449612405,3220.538990825688,1852.0086486486484,3728.023111111111
เกษมราษฎร์ประชาชื่น : BCH,None,BCH,Private,362,4800,286,0.05789717461787865,0.9421028253821213,4318,8030.6425339366515,1514.6132596685084,64181.95,2341.005291005291,3082.9136047666334,12241.75,6272.009202453988,4574.383333333333,4446.027568922305
พญาไท 3 : BDMS,None,BDMS,Private,230,6200,412,0.09791477787851315,0.9020852221214869,4412,10889.847832817337,2478.876865671642,14374.958333333334,4387.784172661871,4461.405240174672,9299.647916666667,8960.068897637795,7216.674418604651,4199.943620178042
วิภาราม,None,VIBHA,Private,150,2200,272,0.05482972799314628,0.9451702720068537,4669,4089.262987012987,4594.938181818182,1767.8684210526317,2042.0055865921788,3233.57684729064,4954.089552238806,4826.91095890411,2228.230061349693,5986.444610778443
สินแพทย์ เสรีรักษ์,None,VIBHA,Private,238,4050,231,0.1247870528109029,0.8752129471890971,4696,11027.24635568513,2250.082424242424,5139.671,2483.281012658228,4926.335681669928,9769.809667590027,11424.81226993865,4339.831132075471,3385.6041942604857
กรุงเทพคริสเตียน,Top,None,Private,244,4900,319,0.06299840510366826,0.9370015948963317,5016,5798.735915492958,2655.494845360825,9729.170731707318,2641.3853211009173,2934.541095890411,6566.44874715262,4411.060465116279,3117.1574803149606,7726.608
เซนต์หลุยส์,Top,None,Private,387,4500,188,0.03523371104815864,0.9647662889518414,5648,3373.7066666666665,1843.25,1225.357142857143,1647.1011673151752,1877.3856164383562,4199.056122448979,3220.787037037037,1818.203007518797,2944.6805896805895
กรุงเทพ : BDMS,Top,BDMS,Private,263,11300,1198,0.06282906282906282,0.9378729378729379,5698,6832.9372,4025.245755208333,7085.898253968254,5533.330927152318,3723.676149870801,10273.254338709676,6640.434526627219,6956.878526315789,29047.038647540987
รามาธิบดี,Top,None,Private,1378,1000,1041,0.15378234903782348,0.8465494359654944,6028,19259.947368421053,3063.2298538367845,8840.486301369863,6618.080676691729,8295.888621794871,17632.86741424802,6393.766435643563,5764.920913043478,15637.577586206897
เปาโลเมโมเรียล โชคชัย4 : BDMS,None,BDMS,Private,140,2940,183,0.06097760340035965,0.9390223965996404,6117,6626.973063973064,1292.6463068181818,2977.7619047619046,1889.329540816326,3625.298387096774,12086.544364508392,6554.67,4357.4841849148415,3136.010183299389
รามคำแหง,Top,RAM,Public,486,3500,327,0.07943777637397346,0.9205622236260266,6332,7539.862697368422,3057.4133216783216,4839.488131868132,3206.7883846153845,3997.0553468697126,8995.05429906542,5041.500483870968,5251.019877675841,3600.706040462427
ศิริราช ปิยมหาราชการุณย์,Top,None,Private,350,6700,615,0.22162576687116564,0.778680981595092,6520,11175.995117647059,5925.884615384615,47137.14324324324,21246.721374045803,9326.330672748005,35509.09031198687,23102.97670682731,14808.299011299434,11036.335684647303
เปาโลเมโมเรียล พหลโยธิน : BDMS,None,BDMS,Private,220,5450,305,0.054287386596429614,0.9460052677787533,6834,5798.104954954955,3339.9628805620605,2055.441034482759,2752.4139228295817,2559.190123056994,7634.949027303753,6990.291814254861,4615.097236024845,2701.8222500000034
ศิครินทร์,None,None,Private,258,5100,348,0.08176905574516496,0.9182309442548351,7032,7979.404913043477,2541.45189010989,4360.649275362319,2777.823368421053,3711.878502604168,9385.670026041664,5826.521815718157,5127.91899159664,4956.834066666667
พระรามเก้า,Top,None,Private,166,7950,340,0.04361104324456389,0.9563889567554361,8186,5939.503863987636,2751.4496753246754,3073.1111111111113,2482.4164265129684,2418.9035850081477,5782.044444444445,5142.04375,5235.68058968059,2371.603015075377
ลาดพร้าว,None,None,Private,180,4700,206,0.06286337209302326,0.9372577519379846,8256,6319.916856540083,2300.5309374999997,7167.791779661017,3047.7330630630627,2783.0573787680205,7412.692765598652,6130.034960422164,2541.8440581717446,4058.524672131148
พญาไท 2 : BDMS,Top,BDMS,Private,260,6687,535,0.07105802871275184,0.929183254916154,8289,6936.915319587629,2192.3946957878316,11418.029411764706,2963.533076923077,3695.271394374626,8980.261057692307,7543.458949416342,8190.924333333333,3121.17593175853
วิภาวดี,None,None,Private,258,4360,417,0.09191469950963622,0.9080853004903637,8769,9122.581395348838,2877.6630669546435,6852.164556962025,2625.4380403458213,4672.388574369532,9648.650341685649,4947.125,7248.540918163672,6510.464968152866
